|year|album|song|danceability|energy|speechiness|acousticness|liveness|valence|duration_ms|lyrics|cover|songwriters_parsed|vocals_parsed|popularity
10|1963|Please Please Me|Do You Want to Know a Secret|0.673|0.349|0.0368|0.608|0.38|0.609|117013|You'll never know how much I really love you You'll never know how much I really care  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  I've known the secret for a week or two Nobody knows, just we two  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you|FALSO|[John Lennon]|[Harrison]|61.0
11|1963|Please Please Me|A Taste of Honey|0.42|0.372|0.0327|0.698|0.104|0.412|123480|A taste of honey. Tasting much sweeter than wine. I dream of your first kiss and then, I feel upon my lips again, A taste of honey. Tasting much sweeter than wine. I will return, Yes I will return, I'll come back For the honey, And you. Yours was the kiss that awoke my heart, There lingers still, 'though we're far apart, That taste of honey... Tasting much sweeter than wine. I will return, yes I will return, I'll come back For the honey, And you.|VERDADEIRO|[Bobby Scott, Ric Marlow]|[McCartney]|47.0
12|1963|Please Please Me|There's a Place|0.455|0.582|0.0292|0.629|0.172|0.927|110493|There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone  I think of you And things you do Go 'round my head The things you said Like I love only you.  In my mind there's no sorrow Don't you know that it's so There'll be no sad tomorrow Don't you know that it's so  There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone There's a place|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|48.0
13|1963|Please Please Me|Twist and Shout|0.482|0.849|0.0452|0.641|0.0414|0.937|155227||VERDADEIRO|[Phil Medley, Bert Berns]|[Lennon]|75.0
14|1963|With The Beatles|It Won't Be Long|0.472|0.673|0.0318|0.284|0.206|0.862|133387|It won't be long yeh, It won't be long yeh, It won't be long yeh, Till I belong to you Everynight when everybody has fun, Here I am sitting all on my own It won't be long yeh, It won't be long yeh, It won't be long yeh, Till I belong to you Since you left me, I'm so alone, Now you're coming, You're coming on home I'll be good like I know I should. You're coming home, You're coming home. Every night tears come down from my eyes, Every day I've done nothing but cry. It won't be long yeh, It won't be long yeh, It won't be long yeh, Till I belong to you. Since you left me, I'm so alone, Now you're coming, You're coming on home I'll be good like I know I should. You're coming home, You're coming home. Every day we'll be happy I know, Now I know that you won't leave no more. It won't be long yeh, It won't be long yeh, It won't be long yeh, Till I belong to you.|FALSO|[John Lennon, Paul McCartney]|[Lennon]|55.0
15|1963|With The Beatles|All I've Got to Do|0.49|0.579|0.0344|0.217|0.0644|0.879|122573|Whenever I want you around, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. And when I, I want to kiss you, yeah. All I gotta do, Is whisper in your ear The words you long to hear, And I'll be kissin' you. Chorus: And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me. And when I, I want to kiss you, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. [Chorus:]|FALSO|[John Lennon]|[Lennon]|55.0
16|1963|With The Beatles|All My Loving|0.416|0.563|0.0298|0.207|0.343|0.9|127853|Close your eyes and I'll kiss you, Tomorrow I'll miss you; Remember I'll always be true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. All my loving I will send to you. All my loving, darling I'll be true.|FALSO|[Paul McCartney]|[McCartney]|67.0
17|1963|With The Beatles|Don't Bother Me|0.371|0.724|0.0562|0.554|0.299|0.916|148253|Since she's been gone I want no one To talk to me. It's not the same, But I'm to blame, It's plain to see. So go away, Leave me alone, Don't bother me. I can't believe That she would leave Me on my own. It's just not right When everynight I'm all alone. I've got no time For you right now, Don't bother me. I know I'll never be the same, If I don't get her back again. Because I know she'll always be, The only girl for me. But 'till she's near Please don't come near, Stay away. I'll let you know When she's come home, Until that day, Don't come around, Leave me alone, Don't bother me, Don't bother me (fade)|FALSO|[George Harrison]|[Harrison]|54.0
18|1963|With The Beatles|Little Child|0.526|0.858|0.0476|0.292|0.353|0.886|106400|Little child, Little child, Little child Won't you dance with me? I'm so sad and lonely, Baby take a chance with me. If you want someone to make you feel so fine, Then we'll have some fun, when you're mine oh mine, So come on, come on, come on. Little child, Little child, Little child Won't you dance with me? I'm so sad and lonely, Baby take a chance with me. When you're by my side you're the only one Don't you run and hide, just come on, come on, So come on, come on, come on.|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|43.0
19|1963|With The Beatles|Till There Was You|0.727|0.338|0.0454|0.79|0.105|0.646|133507||VERDADEIRO|[Meredith Willson]|[McCartney]|62.0
20|1963|With The Beatles|Please Mr. Postman|0.552|0.644|0.0372|0.675|0.36|0.961|154160||VERDADEIRO|[Georgia Dobbins, William Garrett, Brian Holland, Robert Bateman, Freddie Gorman]|[Lennon]|
21|1963|With The Beatles|Roll Over Beethoven|0.351|0.749|0.0312|0.289|0.0952|0.967|165467||VERDADEIRO|[Chuck Berry]|[Harrison]|57.0
22|1963|With The Beatles|Hold Me Tight|0.54|0.744|0.0312|0.664|0.21|0.963|151907|It feels so right now. Hold me tight, Tell me I'm the only one, And then I might, Never be the lonely one. So hold me tight, Tonight, tonight, It's you, you, you, you. Hold me tight, Let me go on loving you Tonight, tonight, Making love to only you. So hold me tight, Tonight, tonight, It's you, you, you, you, you Don't know, What it means to hold you tight, Being here alone tonight, With you, It feels so right now.|FALSO|[Paul McCartney, John Lennon]|[McCartney]|47.0
23|1963|With The Beatles|You Really Got a Hold on Me|0.373|0.388|0.0337|0.525|0.267|0.687|181347||VERDADEIRO|[Smokey Robinson]|[Lennon, Harrison]|55.0
24|1963|With The Beatles|I Wanna Be Your Man|0.553|0.914|0.0415|0.477|0.292|0.683|119507|(Lennon/Mccartney) I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man Love you like no other baby Like no other can Love you like no other baby Like no other can I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man Tell me that you love me baby Let me understand Tell me that you love me baby I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man I wanna be your lover baby I wanna be your man I wanna be your lover baby I wanna be your man Love you like no other baby Like no other can Love you like no other baby Like no other can I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man I wanna be your man, I wanna be your man|FALSO|[Paul McCartney, John Lennon]|[Starr]|46.0
25|1963|With The Beatles|Devil in Her Heart|0.618|0.622|0.0296|0.227|0.0438|0.966|146213|(She's got the devil in her heart) Oh, no, no, no... No this I can't believe (She's gonna tear your heart apart) No, no, way will she deceive Don't take chances For romance is So important to me She'll never hurt me She won't desert me (She's an angel sent to me) (She's got the devil in her heart) Oh, no, no, no... No this I can't believe (She's gonna tear your heart apart) No, no, way will she deceive I can't believe that she'll ever, ever go Not when she hurts me and says she loves me so... She'll never hurt me She won't desert me (Listen, can't you see?) (She's got the devil in her heart) Oh, no, no, no... This I can't believe (She's gonna tear your heart apart) No, no way will she deceive (Don't take chances, leave your romances So important to you) She'll never hurt me She won't desert me (She's an angel sent to me....) (She's got the devil in her heart) Oh, no, no, no... No, this I can't believe (She's gonna tear your heart apart) No, no, nay will she deceive (She's got the devil in her heart) No, she's an angel sent to me (She's got the devli in her heart) No, she's an angel sent to me...|VERDADEIRO|[Drapkin (a.k.a. Ricky Dee)]|[Harrison]|47.0
26|1963|With The Beatles|Not a Second Time|0.471|0.817|0.0372|0.213|0.498|0.961|126827|You know you've made me cry, I see no use in wondering why, I cried for you. And now you've changed your mind, I see no reason to change mine, My crying is through. You're giving me the same old line, I'm wondering why. You hurt me then, You're back again, No, no, no,not a second time.|FALSO|[John Lennon]|[Lennon]|45.0
27|1963|With The Beatles|Money (That's What I Want)|0.545|0.853|0.0394|0.425|0.266|0.923|169507||VERDADEIRO|[Berry Gordy, Janie Bradford]|[Lennon]|48.0
28|1964|A Hard Day's Night|A Hard Day's Night|0.59|0.805|0.0371|0.137|0.0996|0.797|154200|It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I work all day to get you money to buy you things And it's worth it just to hear you say you're going to give me everything So why on earth should I moan, 'cause when I get you alone You know I feel ok When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Owww! So why on earth should I moan, 'cause when I get you alone You know I feel lover well. When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah Oh, it's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|66.0
29|1964|A Hard Day's Night|I Should Have Known Better|0.682|0.444|0.0289|0.257|0.115|0.91|163080|I should have known better with a girl like you, That I would love everything that you do, And I do, hey hey, and I do. Whoa, whoa, I never realised what a kiss could be, This could only happen to me, Can't you see, can't you see? That when I tell you that I love you, oh, You're gonna say you love me too hoo hoo Hoo hoo, oh, And when I ask you to be mine, You're gonna say you love me too. So, oh, I should have realised a lot of things before, If this is love you; ve got to give me more, Give me more, hey hey, give me more. Whoa, whoa, I mever realised what a kiss could be, This could only happen to me, Can't you see, can't you see? That when I tell you that I love you, oh, You're gonna say you love me too, oh And when I ask you to be mine, You're gonna say you love me too. You love me too, You love me too|FALSO|[John Lennon]|[Lennon]|60.0
30|1964|A Hard Day's Night|If I Fell|0.665|0.31|0.0278|0.68|0.0877|0.568|139467|If I fell in love with you Would you promise to be true And help me understand? 'Cause I've been in love before And I found that love was more Than just holding hands If I give my heart to you, I must be sure From the very start That you, Would love me more than her If I trust in you oh please, Don't run and hide If I love you too oh please Don't hurt my pride like her, 'cause I couldn't stand the pain And I, Would be sad if our new love, Was in vain So I hope you see that I, Would love to love you, And that she will cry When she learns we are two. If I fell in love with you|FALSO|[John Lennon]|[Lennon, McCartney]|61.0
31|1964|A Hard Day's Night|I'm Happy Just to Dance with You|0.658|0.537|0.0307|0.138|0.0572|0.887|116373|Before this dance is through I think I'll love you too I'm so happy when you dance with me I don't want or need to hold your hand Well it's only try and understand Cause there's really nothing I would rather do Cause I'm happy just to dance with you I don't need to kiss or hold you tight I just want to dance with you all night In this world there's nothing I would rather do Cause I'm happy just to dance with you Just to dance with you Its everything I need Before this dance is through I think I'll love you too I'm so happy when you dance with me If somebody tries to take my place Lets pretend we just can't see his face In this world there's nothing I would rather do Cause I'm happy just to dance with you Just to dance with you Its everything I need Before this dance is through I discovered I'm in love with you Cause I'm happy just to dance with you|FALSO|[John Lennon, Paul McCartney]|[Harrison]|56.0
32|1964|A Hard Day's Night|And I Love Her|0.767|0.331|0.0337|0.64|0.0681|0.636|149693|I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me ev'rything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her|FALSO|[Paul McCartney, John Lennon]|[McCartney]|67.0
33|1964|A Hard Day's Night|Tell Me Why|0.267|0.688|0.0388|0.586|0.307|0.797|128693|Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  Well, I gave you everything I had But you left me sitting on my own Did you have to treat me oh so bad? All I do is hang my head and moan  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  If it's something that I've said or done Tell me what, and I'll apologize If you don't I really can't go on Holding back these tears in my eyes  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  Well, I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do 'Cause I really can't stand it, I'm so in love with you  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me|FALSO|[John Lennon]|[Lennon]|48.0
34|1964|A Hard Day's Night|Can't Buy Me Love|0.483|0.677|0.0593|0.283|0.321|0.842|131867|Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend if it makes you feel alright I'll get you anything my friend if it makes you feel alright 'Cause I don't care too much for money, money can't buy me love I'll give you all I got to give if you say you love me too I may not have a lot to give but what I got I'll give to you I don't care too much for money, money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love|FALSO|[Paul McCartney]|[McCartney, Lennon]|65.0
35|1964|A Hard Day's Night|Any Time at All|0.612|0.719|0.0398|0.366|0.437|0.744|131280|Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If you need somebody to love, Just look into my eyes, I'll be there to make you feel right. If you're feeling sorry and sad, I'd really sympathize. Don't you be sad, just call me tonight. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If the sun has faded away, I'll try to make it shine, There's nothing I won't do If you need a shoulder to cry on, I hope it will be mine. Call me tonight, and I'll come to you. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. Any time at all, All you've gotta do is call and I'll be there.|FALSO|[John Lennon, Paul McCartney]|[Lennon]|48.0
36|1964|A Hard Day's Night|I'll Cry Instead|0.643|0.73|0.0347|0.0917|0.253|0.96|105987|I've got every reason On earth to be mad Cause I just lost The only girl I had If I could get my way I'd get myself locked up today But I can't, so I'll cry instead I've got a chip on my shoulder That's bigger that my feet I can't talk to people that I meet If I could see you now I'd try to make you sad somehow But I can't, so I'll cry instead Don't want to cry When there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday And when you do You'd better hide all the girls I'm gonna break their hearts All round the world Yes, I'm gonna break them in two And show you what Your loving man can do Until then, I'll cry instead Don't want to cry When there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday And when you do You'd better hide all the girls Cause I'm gonna break their hearts All round the world Yes, I'm gonna break them in two And show you what Your loving man can do Until then, I'll cry instead|FALSO|[John Lennon]|[Lennon]|46.0
37|1964|A Hard Day's Night|Things We Said Today|0.551|0.575|0.0332|0.239|0.112|0.516|155333|You say you will love me If I have to go You'll be thinking of me Somehow I will know Someday when I'm lonely Wishing you weren't so far away Then I will remember Things we said today  You say you'll be mine, girl Till the end of time These days such a kind girl Seems so hard to find Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today  Me, I'm just the lucky kind Love to hear you say that love is luck And though we may be blind Love is here to stay and that's enough  To make you mine, girl Be the only one Love me all the time, girl We'll go on and on Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today  Me, I'm just the lucky kind Love to hear you say that love is luck Though we may be blind Love is here to stay and that's enough  To make you mine, girl Be the only one Love me all the time, girl We'll go on and on Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today|FALSO|[Paul McCartney]|[McCartney]|55.0
38|1964|A Hard Day's Night|When I Get Home|0.568|0.793|0.0482|0.384|0.388|0.64|136640|Whoa-I, whoa-I I got a whole lot of things to tell her When I get home Come on, out of my way Cos I'm gonna see my baby today I've got a whole lot of things I've gotta say To her  Whoa-I, whoa-I I got a whole lot of things to tell her When I get home Come on if you please I've got no time for trivialities I've got a girl who's waiting home for me tonight  Whoa-I, whoa-I I got a whole lot of things to tell her When I get home When I'm getting home tonight I'm gonna hold her tight I'm gonna love her till the cows come home I bet I'll love her more Till I walk out that door Again  Come on, let me through I've got so many things I've got to do I've got no business being here with you This way  Whoa-I, whoa-I I've got a whole lot of things to tell her When I get home, yeah I've got a whole lot of things to tell her When I get home|FALSO|[John Lennon]|[Lennon]|44.0
39|1964|A Hard Day's Night|You Can't Do That|0.612|0.788|0.0335|0.367|0.382|0.961|154893|I got something to say that might cause you pain If I catch you talking to that boy again I'm gonna let you down And leave you flat Because I told you before, oh You can't do that  Well, it's the second time I've caught you talking to him Do I have to tell you one more time, I think it's a sin I think I'll let you down (Let you down) Leave you flat (Gonna let you down and leave you flat) Because I've told you before, oh You can't do that  Everybody's green Cos I'm the one who won your love But if they'd seen You're talking that way they'd laugh in my face  So please listen to me, if you wanna stay mine I can't help my feelings, I'll go out of my mind I'm gonna let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I've told you before, oh You can't do that, oh  (You can't do that You can't do that You can't do that You can't do that You can't do that)  Everybody's green Cos I'm the one who won your love But if they'd seen You're talking that way they'd laugh in my face  So please listen to me, if you wanna stay mine I can't help my feelings, I'll go out of my mind I'm gonna let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I've told you before, oh You can't do that|FALSO|[John Lennon]|[Lennon]|48.0
40|1964|A Hard Day's Night|I'll Be Back|0.721|0.527|0.0293|0.744|0.186|0.641|144187|You know if you break my heart I'll go But I'll be back again Cos I told you once before goodbye But I came back again I love you so I'm the one who wants you Yes, I'm the one Who wants you, oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I thought that you would realize That if I ran away from you That you would want me too But I got a big surprise Oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I wanna go but I hate to leave you, You know I hate to leave you , oh ho, oh ho, oh You, if you break my heart I'll go But I'll be back again|FALSO|[John Lennon]|[Lennon, McCartney)]|49.0
41|1964|Beatles for Sale|No Reply|0.718|0.593|0.0377|0.67|0.172|0.869|136067|This happened once before, When I came to your door, No reply. They said it wasn't you, But I saw you peep through your window. I saw the light, I saw the light, I know that you saw me, Cause I looked up to see, Your face. I tried to telephone, They said you were not home, That's a lie, Cause I know where you've been, I saw you walk in your door. I nearly died, I nearly died, Cause you walked hand in hand With another man, In my place. If I were you, I'd realise that I, Love you more than any other guy. And I'll forgive the lies that I, Heard before, When you gave me no reply. I've tried to telephone, They said you were not home, That's a lie, Cause I know where you've been, I saw you walk in your door. I nearly died, I nearly died, Cause you walked hand in hand With another man in my place. No reply, no reply.|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|56.0
42|1964|Beatles for Sale|I'm a Loser|0.492|0.628|0.0439|0.567|0.267|0.856|150027|I'm a loser I'm a loser And I'm not what I appear to be Of all the love I have won or have lost There is one love I should never have crossed She was a girl in a million, my friend I should have known she would win in the end I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be Although I laugh and I act like a clown Beneath this mask I am wearing a frown My tears are falling like rain from the sky Is it for her or myself that I cry I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be What have I done to deserve such a fate I realize I have left it too late And so it's true, pride comes before a fall I'm telling you so that you won't lose all I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be|FALSO|[John Lennon]|[Lennon]|48.0
43|1964|Beatles for Sale|Baby's in Black|0.374|0.596|0.0416|0.434|0.098|0.876|124520|Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? I think of her, but she only thinks of him, And though it's only a whim, she thinks of him. Oh how long will it take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? Oh how long it will take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do?|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|46.0
44|1964|Beatles for Sale|Rock and Roll Music|0.457|0.917|0.0441|0.566|0.333|0.965|151280||VERDADEIRO|[Chuck Berry]|[Lennon]|52.0
45|1964|Beatles for Sale|I'll Follow the Sun|0.689|0.313|0.0366|0.789|0.144|0.625|108853|One day You'll look to see I've gone For tomorrow may rain So I'll follow the sun  Some day You'll know I was the one But tomorrow may rain So I'll follow the sun  And now the time has come And so my love I must go And though I lose a friend In the end you will know Oh one day You'll find that I have gone But tomorrow may rain So I'll follow the sun  Yet tomorrow may rain So I'll follow the sun  And now the time has come And so my love I must go And though I lose a friend In the end you will know Oh one day You'll find that I have gone But tomorrow may rain So I'll follow the sun|FALSO|[Paul McCartney]|[McCartney, Lennon]|60.0
