year|album|song|danceability|energy|speechiness|acousticness|liveness|valence|duration_ms
1965|Help!|You Like Me Too Much|0.555|0.57|0.0302|0.415|0.191|0.899|156867
1965|Help!|Tell Me What You See|0.592|0.796|0.0429|0.061|0.131|0.7|157987
1965|Help!|I've Just Seen a Face|0.647|0.56|0.0387|0.723|0.118|0.913|125040
1965|Help!|Yesterday|0.332|0.179|0.0326|0.879|0.0886|0.315|125667
1965|Help!|Dizzy Miss Lizzy|0.373|0.934|0.0591|0.116|0.0962|0.918|176507
1965|Rubber Soul|Drive My Car|0.754|0.571|0.0421|0.0173|0.3|0.82|148893
1965|Rubber Soul|Norwegian Wood (This Bird Has Flown)|0.425|0.369|0.0379|0.183|0.112|0.65|124693
1965|Rubber Soul|You Won't See Me|0.488|0.539|0.0304|0.136|0.0538|0.473|199960
1965|Rubber Soul|Nowhere Man|0.534|0.624|0.0462|0.00797|0.128|0.687|163693
1965|Rubber Soul|Think for Yourself|0.529|0.567|0.0282|0.0124|0.0729|0.799|138520
1965|Rubber Soul|The Word|0.59|0.641|0.0416|0.00682|0.0553|0.792|163107
1965|Rubber Soul|Michelle|0.578|0.29|0.0341|0.652|0.105|0.666|162373
1965|Rubber Soul|What Goes On|0.67|0.776|0.0749|0.0168|0.0732|0.765|168573
1965|Rubber Soul|Girl|0.699|0.294|0.0294|0.587|0.117|0.893|151720
1965|Rubber Soul|I'm Looking Through You|0.667|0.498|0.0364|0.00772|0.0481|0.774|146387
1965|Rubber Soul|In My Life|0.688|0.435|0.0323|0.449|0.113|0.435|146333
1965|Rubber Soul|Wait|0.552|0.487|0.04|0.0175|0.105|0.657|134720
1965|Rubber Soul|If I Needed Someone|0.492|0.755|0.0331|0.00748|0.102|0.796|142267
1965|Rubber Soul|Run for Your Life|0.563|0.705|0.103|0.0103|0.0552|0.822|141093
1966|Revolver|Taxman|0.469|0.596|0.0749|0.0101|0.321|0.783|158853
1966|Revolver|Eleanor Rigby|0.581|0.28|0.0381|0.936|0.305|0.813|126533
1966|Revolver|I'm Only Sleeping|0.494|0.47|0.0301|0.21|0.28|0.698|180320
1966|Revolver|Love You To|0.391|0.593|0.0413|0.7|0.0829|0.707|179827
1966|Revolver|Here, There and Everywhere|0.29|0.247|0.0383|0.921|0.0917|0.36|144880
1966|Revolver|Yellow Submarine|0.604|0.549|0.0389|0.531|0.438|0.696|158880
1966|Revolver|She Said She Said|0.329|0.678|0.0344|0.103|0.843|0.672|156040
1966|Revolver|Good Day Sunshine|0.77|0.496|0.0468|0.719|0.123|0.571|129293
1966|Revolver|And Your Bird Can Sing|0.555|0.65|0.0282|0.0067|0.236|0.966|120493
1966|Revolver|For No One|0.483|0.351|0.0278|0.783|0.115|0.713|119813
1966|Revolver|Doctor Robert|0.394|0.64|0.0488|0.164|0.153|0.574|134267
1966|Revolver|I Want to Tell You|0.493|0.525|0.0315|0.182|0.148|0.449|147973
1966|Revolver|Got to Get You into My Life|0.521|0.524|0.0302|0.42|0.0838|0.711|149240
1966|Revolver|Tomorrow Never Knows|0.38|0.829|0.0405|0.000084|0.342|0.0534|179547
1967|Sgt. Pepper's Lonely Hearts Club Band|Sgt. Pepper's Lonely Hearts Club Band|0.451|0.673|0.0734|0.0857|0.797|0.583|122893
1967|Sgt. Pepper's Lonely Hearts Club Band|With a Little Help from My Friends|0.705|0.515|0.0337|0.365|0.389|0.803|164107
1967|Sgt. Pepper's Lonely Hearts Club Band|Lucy in the Sky with Diamonds|0.311|0.325|0.0283|0.0469|0.139|0.668|208467
1967|Sgt. Pepper's Lonely Hearts Club Band|Getting Better|0.632|0.471|0.0348|0.313|0.0712|0.764|168120
1967|Sgt. Pepper's Lonely Hearts Club Band|Fixing a Hole|0.469|0.507|0.0451|0.382|0.0783|0.619|156827
1967|Sgt. Pepper's Lonely Hearts Club Band|She's Leaving Home|0.381|0.214|0.0337|0.944|0.106|0.393|215160
1967|Sgt. Pepper's Lonely Hearts Club Band|Being for the Benefit of Mr. Kite!|0.526|0.413|0.0446|0.338|0.0992|0.71|157533
1967|Sgt. Pepper's Lonely Hearts Club Band|Within You Without You|0.352|0.479|0.0338|0.339|0.486|0.354|304667
1967|Sgt. Pepper's Lonely Hearts Club Band|When I'm Sixty-Four|0.704|0.241|0.0476|0.625|0.0868|0.661|157667
1967|Sgt. Pepper's Lonely Hearts Club Band|Lovely Rita|0.61|0.471|0.0261|0.0634|0.118|0.63|162093
1967|Sgt. Pepper's Lonely Hearts Club Band|Good Morning Good Morning|0.542|0.618|0.139|0.0858|0.772|0.93|161227
1967|Sgt. Pepper's Lonely Hearts Club Band|Sgt. Pepper's Lonely Hearts Club Band (Reprise)|0.653|0.889|0.0453|0.0061|0.892|0.879|79067
1967|Sgt. Pepper's Lonely Hearts Club Band|A Day in the Life|0.364|0.457|0.0675|0.29|0.922|0.175|337413
1967|Magical Mystery Tour|Magical Mystery Tour|0.297|).613|0.0931|0.0385|0.0734|0.338|170107
1967|Magical Mystery Tour|The Fool on the Hill|0.365|0.26|0.0314|0.913|0.105|0.49|179107
1967|Magical Mystery Tour|Flying|0.551|0.395|0.0501|0.368|0.0932|0.261|135520
1967|Magical Mystery Tour|Blue Jay Way|0.294|0.407|0.0308|0.0258|0.0852|0.0378|235067
1967|Magical Mystery Tour|Your Mother Should Know|0.698|0.293|0.0332|0.784|0.0936|0.724|148413
1967|Magical Mystery Tour|I Am the Walrus|0.401|0.556|0.0513|0.0828|0.589|0.654|275867
1967|Magical Mystery Tour|Hello, Goodbye|0.479|0.733|0.0256|0.306|0.414|0.806|208840
1967|Magical Mystery Tour|Strawberry Fields Forever|0.39|0.502|0.178|0.336|0.0713|0.289|247320
1967|Magical Mystery Tour|Penny Lane|0.651|0.488|0.0316|0.212|0.136|0.49|180893
1967|Magical Mystery Tour|Baby, You're a Rich Man|0.619|0.625|0.036|0.0119|0.152|0.467|181307
1967|Magical Mystery Tour|All You Need Is Love|0.4|0.48|0.0295|0.346|0.155|0.653|230387
1968|The Beatles (white album)|Back in the U.S.S.R.|0.48|0.969|0.0854|0.069|0.0608|0.494|163453
1968|The Beatles (white album)|Dear Prudence|0.388|0.529|0.0436|0.16|0.108|0.332|235773
1968|The Beatles (white album)|Glass Onion|0.523|0.51|0.0514|0.0123|0.108|0.789|137840
1968|The Beatles (white album)|Ob-La-Di, Ob-La-Da|0.818|0.728|0.0314|0.232|0.251|0.975|188960
1968|The Beatles (white album)|Wild Honey Pie|0.792|0.763|0.0506|0.425|0.789|0.152|52973
1968|The Beatles (white album)|The Continuing Story of Bungalow Bill|0.621|0.459|0.104|0.224|0.656|0.648|194160
1968|The Beatles (white album)|While My Guitar Gently Weeps|0.453|0.654|0.0317|0.0205|0.172|0.702|285000
1968|The Beatles (white album)|Happiness Is a Warm Gun|0.431|0.54|0.0589|0.523|0.169|0.44|164547
1968|The Beatles (white album)|Martha My Dear|0.472|0.292|0.0321|0.872|0.128|0.824|148573
1968|The Beatles (white album)|I'm So Tired|0.433|0.483|0.175|0.656|0.539|0.717|123493
1968|The Beatles (white album)|Blackbird|0.686|0.127|0.0342|0.754|0.0573|0.372|138387
1968|The Beatles (white album)|Piggies|0.542|0.445|0.0303|0.643|0.516|0.52|124267
1968|The Beatles (white album)|Rocky Raccoon|0.599|0.363|0.0315|0.333|0.243|0.648|213107
1968|The Beatles (white album)|Don't Pass Me By|0.599|0.537|0.0254|0.594|0.194|0.946|230453
1968|The Beatles (white album)|Why Don't We Do It in the Road?|0.589|0.522|0.0521|0.53|0.0993|0.957|101160
1968|The Beatles (white album)|I Will|0.631|0.387|0.0262|0.742|0.0822|0.832|105933
1968|The Beatles (white album)|Julia|0.512|0.0953|0.0304|0.828|0.117|0.193|176667
1968|The Beatles (white album)|Birthday|0.541|0.727|0.0384|0.0000737|0.232|0.91|163080
1968|The Beatles (white album)|Yer Blues|0.327|0.525|0.0475|0.000875|0.133|0.435|240453
1968|The Beatles (white album)|Mother Nature's Son|0.608|0.178|0.0264|0.634|0.166|0.401|168027
1968|The Beatles (white album)|Everybody's Got Something to Hide Except Me and My Monkey|0.523|0.731|0.0559|0.0207|0.081|0.81|144773
1968|The Beatles (white album)|Sexy Sadie|0.577|0.624|0.0285|0.33|0.117|0.671|195267
1968|The Beatles (white album)|Helter Skelter|0.166|0.831|0.0894|0.000606|0.811|0.281|269787
1968|The Beatles (white album)|Long, Long, Long|0.349|0.129|0.0294|0.539|0.192|0.163|186307
1968|The Beatles (white album)|Revolution 1|0.386|0.626|0.0377|0.0785|0.621|0.695|255707
1968|The Beatles (white album)|Honey Pie|0.537|0.297|0.0822|0.88|0.145|0.553|161160
1968|The Beatles (white album)|Savoy Truffle|0.623|0.544|0.0536|0.00814|0.134|0.793|174467
1968|The Beatles (white album)|Cry Baby Cry|0.517|0.529|0.0323|0.115|0.174|0.362|182080
1968|The Beatles (white album)|Revolution 9|0.208|0.615|0.342|0.769|0.824|0.101|502013
1968|The Beatles (white album)|Good Night|0.146|0.355|0.0352|0.865|0.114|0.178|193760
1969|Yellow Submarine|Yellow Submarine|0.605|0.536|0.0421|0.518|0.528|0.688|159720
1969|Yellow Submarine|Only a Northern Song|0.175|0.731|0.0705|0.000341|0.0846|0.801|204493
1969|Yellow Submarine|All Together Now|0.587|0.431|0.0686|0.0722|0.561|0.778|130893
1969|Yellow Submarine|Hey Bulldog|0.587|0.617|0.028|0.0197|0.199|0.947|191307
1969|Yellow Submarine|It's All Too Much|0.39|0.781|0.0364|0.000043|0.1|0.199|385013
1969|Yellow Submarine|All You Need Is Love|0.4|0.463|0.0288|0.345|0.286|0.627|231213
1969|Yellow Submarine|Pepperland|0.354|0.281|0.032|0.661|0.243|0.367|140733
1969|Yellow Submarine|Sea of Time|0.237|0.096|0.0387|0.971|0.203|0.0629|180213
1969|Yellow Submarine|Sea of Holes|0.249|0.0994|0.04|0.959|0.454|0.0357|136693
1969|Yellow Submarine|Sea of Monsters|0.253|0.166|0.0346|0.945|0.135|0.0489|216693
1969|Yellow Submarine|March of the Meanies|0.538|0.378|0.0387|0.934|0.456|0.16|139360
1969|Yellow Submarine|Pepperland Laid Waste|0.269|0.0902|0.042|0.877|0.302|0.0462|132773
1969|Yellow Submarine|Yellow Submarine in Pepperland|0.406|0.219|0.0359|0.808|0.15|0.271|134027
1969|Abbey Road|Come Together|0.533|0.376|0.0393|0.0302|0.0926|0.187|259947
1969|Abbey Road|Something|0.396|0.338|0.0304|0.198|0.138|0.377|182293
1969|Abbey Road|Maxwell's Silver Hammer|0.764|0.426|0.0405|0.629|0.132|0.726|207920
1969|Abbey Road|Oh! Darling|0.422|0.656|0.0397|0.0126|0.268|0.549|207240
1969|Abbey Road|Octopus's Garden|0.626|0.512|0.0247|0.155|0.215|0.73|170720
1969|Abbey Road|I Want You (She's So Heavy)|0.37|0.515|0.0321|0.0233|0.0966|0.42|467320
1969|Abbey Road|Here Comes the Sun|0.557|0.54|0.0347|0.0339|0.179|0.394|185733
1969|Abbey Road|Because|0.328|0.249|0.0272|0.754|0.134|0.162|165667
1969|Abbey Road|You Never Give Me Your Money|0.335|0.416|0.0348|0.345|0.116|0.223|242973
1969|Abbey Road|Sun King|0.483|0.177|0.0277|0.284|0.116|0.192|146267
1969|Abbey Road|Mean Mr. Mustard|0.676|0.596|0.0272|0.0699|0.351|0.97|66533
1969|Abbey Road|Polythene Pam|0.474|0.939|0.199|0.00472|0.19|0.499|72640
1969|Abbey Road|She Came In Through the Bathroom Window|0.53|0.72|0.0338|0.00376|0.314|0.69|118627
1969|Abbey Road|Golden Slumbers|0.419|0.152|0.0277|0.326|0.113|0.239|91760
1969|Abbey Road|Carry That Weight|0.543|0.458|0.0274|0.226|0.298|0.704|96467
1969|Abbey Road|The End|0.647|0.487|0.0689|0.00101|0.138|0.222|141613
1969|Abbey Road|Her Majesty|0.703|0.215|0.0892|0.728|0.13|0.522|25987
1970|Let It Be|Two of Us|0.726|0.702|0.032|0.0974|0.239|0.931|216813
1970|Let It Be|Dig a Pony|0.538|0.478|0.0388|0.472|0.17|0.527|235000
1970|Let It Be|Across the Universe|0.257|0.412|0.0287|0.361|0.0702|0.858|228133
1970|Let It Be|I Me Mine|0.291|0.638|0.0554|0.179|0.101|0.525|145587
1970|Let It Be|Dig It|0.54|0.489|0.117|0.659|0.457|0.67|50467
1970|Let It Be|Let It Be|0.443|0.403|0.0322|0.631|0.111|0.41|243027
1970|Let It Be|Maggie Mae|0.516|0.515|0.215|0.379|0.103|0.524|40040
1970|Let It Be|I've Got a Feeling|0.44|0.609|0.0358|0.0715|0.582|0.364|217560
1970|Let It Be|One After 909|0.554|0.828|0.0739|0.0307|0.907|0.888|173960
1970|Let It Be|The Long and Winding Road|0.299|0.329|0.0279|0.756|0.0559|0.392|218187
1970|Let It Be|For You Blue|0.88|0.556|0.0855|0.24|0.24|0.955|152213
1970|Let It Be|Get Back|0.761|0.592|0.0586|0.492|0.61|0.332|189387
